knacken	to crack
ausdenken	to come up with
versunken	sunken
versunken	immersed
die Zuversicht	the confidence
die Schere	the scissors
der Treffer	the hit
die Affinität	the affinity
die Richtigkeit	the correctness
die Genauigkeit	the accuracy
sowieso	anyway
das Gesäß	the buttlocks
der Lende	the loin
die Hüfte	the hip
unterdrücken	to suppress
entlocken	to elicit
toben	to romp
toben	to rage
zuhauflaufen	to pile up
aus der Nähe	close up
der Klang	the sound
leisten	to perform
ausführen	to execute
beunruhigend	disturbing
die Schneise	the swath
der Weg	the path
schlittern	to slide
Nieren und Blase	kidneys and bladder
austragen	to deliver
liefern	to deliver
der Puffer	the buffer
der Stoß	the bump
der Stoß	the impact
der Auffang	the absorbtion
auffangen	to catch
die Schiene	the rail
der Pufferspeicher	the buffer memory
rumhängen	to hang out
penetrant	pushy
der Jongleur	the juggler
die Jongleuse	the juggler
beschissen	crappy
hinterherlaufen	to chase
Besorgungen und Aufgaben	errands and chores
der Rost	the rust
der Teppich	the carpet
der Flur	the hallway
zurückhalten	to hold back
die Dämmerung	the dusk
